组别	时间	ALT	AST	总胆红素μmol/L
K-1	24h	52	280	0.1
K-1	48h	60	210	0.5
K-1	72h	36	171	0.3
K-2	24h	43	268	0.1
K-2	48h	45	175	0.2
K-2	72h	31	118	0.6
K-3	24h	43	317	0.1
K-3	48h	66	238	0.6
K-3	72h	35	176	0.4
K-4	24h	47	284	0.6
K-4	48h	54	221	0.8
K-4	72h	33	118	0.1
K-5	24h	51	213	0.6
K-5	48h	53	219	0.4
K-5	72h	42	105	0.1
K-6	24h	50	246	0.5
K-6	48h	60	187	0.9
K-6	72h	31	123	0.4
W-1	24h	1	258	0.2
W-1	48h	83	169	0.1
W-1	72h	110	158	2.1
W-2	24h	86	222	0.9
W-2	48h	55	177	1.2
W-2	72h	53	121	0.2
W-3	24h	121	311	0.1
W-3	48h	57	217	1.3
W-3	72h	71	144	0.1
W-4	24h	100	249	0.2
W-4	48h	63	304	0.4
W-4	72h	68	162	1.1
W-5	24h	87	253	0.3
W-5	48h	58	175	1.1
W-5	72h	44	121	0.6
W-6	24h	124	465	1
W-6	48h	64	299	0.4
W-6	72h	56	160	0.2
W-7	24h	91	282	0.6
W-7	48h	57	200	0.3
W-7	72h	46	140	0.9
W-8	24h	126	337	0.3
W-8	48h	77	301	0.4
W-8	72h	61	155	1.3
W-9	24h	98	244	0.1
W-9	48h	59	252	0.1
W-9	72h	58	112	0.4
W-10	24h	90	287	0.1
W-10	48h	54	235	0.3
W-10	72h	127	244	0.7
W-11	24h	82	318	0.5
W-11	48h	64	246	1
W-11	72h	55	142	1.2
W-12	24h	83	346	0.4
W-12	48h	357	751	1.5
W-12	72h	144	305	0.1
W-13	24h	75	201	0.1
W-13	48h	56	225	0.4
W-13	72h	42	142	0.5
W-14	24h	138	605	1.8
W-14	48h	67	216	0.3
W-14	72h	58	115	0.2
W-15	24h	110	353	0.3
W-15	48h	57	243	0.2
W-15	72h	62	176	0.3
W-16	24h	98	378	1.8
W-16	48h	64	259	0.5
W-16	72h	53	131	0.2
W-17	24h	76	368	0.1
W-17	48h	60	284	0.1
W-17	72h	49	163	0.5
W-18	24h	91	299	0.1
W-18	48h	74	315	0.4
W-18	72h	59	154	0.1
W-19	24h	118	348	0.1
W-19	48h	73	187	0.1
W-19	72h	89	160	0.3
W-20	24h	86	312	0.1
W-20	48h	70	264	0.1
W-20	72h	72	184	3.1
G-1	24h	40	173	0.4
G-1	48h	102	289	1.4
G-1	72h	0	0	0
G-2	24h	48	185	0.2
G-2	48h	59	266	0.1
G-2	72h	128	263	0.7
G-3	24h	50	200	0.4
G-3	48h	119	306	0.2
G-3	72h	84	222	2.6
G-4	24h	43	206	0.1
G-4	48h	119	302	0.3
G-4	72h	75	178	0.8
G-5	24h	51	174	0.1
