Group	Animal	ALT.24h	ALT.48h	ALT.72h	AST.24h	AST.48h	AST.72h	TBil.24h	TBil.48h	TBil.72h	ALT.rank.24h	ALT.rank.48h	ALT.rank.72h	AST.rank.24h	AST.rank.48h	AST.rank.72h	TBil.rank.24h	TBil.rank.48h	TBil.rank.72h	Mean_rank	alt48q	alt72q	ast48q	ast72q	ValueLow	ValueHigh	Percent	Type	Cluster
W	W-13	75	56	42	201	225	142	0.1	0.4	0.5	2	3	1	1	8	7.5	4.5	12	11.5	4.875	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	2	0	0.24375	l	2
W	W-2	86	55	53	222	177	121	0.9	1.2	0.2	6.5	2	5.5	2	3	3.5	17	18	5.5	3.5	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	4	0	0.175	l	2
W	W-5	87	58	44	253	175	121	0.3	1.1	0.6	8	7	2	5	2	3.5	12	17	13	3.625	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	4	0	0.18125	l	2
W	W-7	91	57	46	282	200	140	0.6	0.3	0.9	10.5	5	3	7	5	6	16	8	15	4.75	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	4	0	0.2375	l	2
G1	G1-11	52	37	41	357	177	159	0.1	0.1	0.4	14	1	5	14.5	1	3	3	3.5	6.5	2.5	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	4	0	0.138888888888889	l	2
G1	G1-12	37	42	31	233	189	138	0.1	0.1	0.1	3	2	3	1	2	1	3	3.5	1	2	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	4	0	0.111111111111111	l	2
G1	G1-16	36	49	24	322	216	173	0.2	0.2	0.2	2	4	2	10	6	5	7	6	2	4.25	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	4	0	0.236111111111111	l	2
G1	G1-19	39	45	23	264	210	171	0.1	0.1	0.3	5	3	1	6	5	4	3	3.5	4	3.25	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	4	0	0.180555555555556	l	2
G1	G1-7	70	53	38	306	203	143	0.3	0.5	0.3	18	5	4	9	4	2	10.5	9.5	4	3.75	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	4	0	0.208333333333333	l	2
G	G-11	46	78	73	165	179	181	0.4	0.1	0.1	8.5	5.5	6	1	3	7	8	1.5	2.5	5.375	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	3	0	0.316176470588235	l	2
G	G-12	46	100	50	182	276	148	0.4	0.9	0.1	8.5	7	2.5	5	9	4	8	11	2.5	5.625	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	2	0	0.330882352941176	l	2
G	G-14	66	78	54	213	251	131	1.1	2.5	0.2	16	5.5	4	12	8	1	16	14	5	4.625	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	3	0	0.272058823529412	l	2
G	G-20	79	59	44	223	220	133	0.7	2.7	0.6	17	3	1	14	4	2	13	15	7.5	2.5	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	4	0	0.147058823529412	l	2
G	G-9	49	52	50	193	246	145	0.2	0.9	0.1	12	2	2.5	6	6	3	5	11	2.5	3.375	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	4	0	0.198529411764706	l	2
2	2-10	43	62	94	346	196	230	0.6	0.7	0.8	1	1	5	10	3	8	11	5.5	3	4.25	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	3	0	0.265625	l	2
2	2-12	67	80	95	439	226	185	0.4	0.1	2.3	14	3	6	16	6	3	7.5	1	10	4.5	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	4	0	0.28125	l	2
2	2-17	62	134	77	219	280	196	0.4	0.2	1.6	10	4	2	1	8	4	7.5	2	6.5	4.5	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	3	0	0.28125	l	2
2	2-18	56	152	55	285	220	149	0.7	0.4	0.3	8	6	1	4	5	1	13	3	1	3.25	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	4	0	0.203125	l	2
2	2-19	66	164	83	276	282	173	0	0.8	0.5	13	7	3	2	9	2	1	7	2	5.25	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	2	0	0.328125	l	2
2	2-9	55	72	85	300	202	225	0.4	0.7	0.9	6.5	2	4	6	4	6	7.5	5.5	4	4	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	4	0	0.25	l	2
1	1-10	59	138	142	345	317	351	0.1	0.2	0.6	6	6	5	17	5	7	4.5	3.5	7	5.75	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	3	0	0.338235294117647	l	2
1	1-11	66	133	73	222	319	206	0.3	0.1	0.3	9	5	2	4	7	2	13	2	3.5	4	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	3	0	0.235294117647059	l	2
1	1-19	73	82	94	243	181	189	0.3	0	0.1	12	4	3	6	1	1	13	1	1.5	2.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	4	0	0.132352941176471	l	2
1	1-2	46	79	149	151	206	283	0.1	0.5	0.8	2	3	6	1	2	5.5	4.5	7	8	4.125	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	4	0	0.242647058823529	l	2
1	1-4	44	165	137	205	327	248	0.3	0.6	1.2	1	7	4	3	8	4	13	9	9	5.75	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	2	0	0.338235294117647	l	2
1	1-8	76	77	68	290	275	228	0.2	1	0.1	13.5	2	1	11	3	3	9	12.5	1.5	2.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	4	0	0.132352941176471	l	2
W	W-12	83	357	144	346	751	305	0.4	1.5	0.1	5	20	20	14	20	20	14	20	2	20	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0	4	1	h	2
W	W-18	91	74	59	299	315	154	0.1	0.4	0.1	10.5	17	11	9	19	10	4.5	12	2	14.25	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0	2	0.7125	h	2
W	W-20	86	70	72	312	264	184	0.1	0.1	3.1	6.5	15	16	11	14	18	4.5	3	20	15.75	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0	4	0.7875	h	2
W	W-4	100	63	68	249	304	162	0.2	0.4	1.1	14	10	14	4	18	15	9.5	12	16	14.25	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0	3	0.7125	h	2
W	W-6	124	64	56	465	299	160	1	0.4	0.2	18	12	8	19	16	13.5	18	12	5.5	12.375	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0	2	0.61875	h	2
W	W-8	126	77	61	337	301	155	0.3	0.4	1.3	19	18	12	13	17	11	12	12	18	14.5	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0	2	0.725	h	2
G1	G1-13	57	558	545	364	687	779	0.3	1.4	1.9	17	15	14	16	15	15	10.5	14	12	14.75	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0	4	0.819444444444444	h	1
G1	G1-17	50	966	751	459	1039	931	1.3	4.4	18.3	13	18	17	18	18	18	17.5	17	17	17.75	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0	4	0.986111111111111	h	1
G1	G1-20	43	352	581	258	513	915	1.2	0	2.7	9.5	13	16	5	14	17	16	1	14	15	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0	4	0.833333333333333	h	1
G1	G1-4	38	132	562	335	338	896	0.5	3	9.6	4	10	15	12	12	16	15	16	16	13.25	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0	3	0.736111111111111	h	1
G1	G1-8	40	897	170	357	968	304	0.4	1	0.9	6.5	17	10	14.5	17	9	13.5	13	8	13.25	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0	2	0.736111111111111	h	1
G1	G1-9	54	580	795	352	711	416	0.3	5.1	70.3	15	16	18	13	16	11	10.5	18	18	15.25	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0	3	0.847222222222222	h	1
G	G-10	44	286	845	171	431	967	0.3	0.1	5.8	7	14	16	3	13	16	6	1.5	15	14.75	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0	4	0.867647058823529	h	1
G	G-13	50	519	233	234	639	298	1.5	1.5	0.4	13.5	15	11	16	15	11	17	13	6	13	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0	4	0.764705882352941	h	2
G	G-17	62	1382	402	217	1187	537	0.6	0.4	2	15	17	12	13	17	12	11.5	8.5	11	14.5	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0	4	0.852941176470588	h	1
G	G-18	41	575	404	169	800	644	0.1	0.2	3.6	4	16	13	2	16	13	2.5	4.5	14	14.5	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0	4	0.852941176470588	h	1
G	G-19	38	242	557	231	453	862	0.1	0.2	3.3	2	11.5	14	15	14	15	2.5	4.5	13	13.625	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0	4	0.801470588235294	h	1
G	G-7	34	247	86	194	325	186	0.1	0.4	0.6	1	13	9	7	12	8	2.5	8.5	7.5	10.5	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0	2	0.617647058823529	h	2
2	2-13	69	537	832	277	879	1214	0.5	8.6	14.2	16	12	14	3	14	16	10	14	13	14	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	0	4	0.875	h	1
2	2-14	52	300	508	309	550	929	0.1	5.2	3.5	3	10	11	7	12	13	2	13	12	11.5	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	0	3	0.71875	h	1
2	2-5	54	441	665	298	725	1192	1.1	3.1	3	4.5	11	13	5	13	15	16	10	11	13	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	0	4	0.8125	h	1
2	2-6	55	1137	1362	376	1052	1173	0.7	4.2	23.1	6.5	15	16	13	16	14	13	12	16	15.25	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	0	4	0.953125	h	1
2	2-8	54	709	289	352	1049	536	0.7	2.5	1.7	4.5	13	10	11	15	11	13	9	8	12.25	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	0	3	0.765625	h	1
1	1-1	70	964	288	198	1305	480	0.1	1	1.7	10	14	10	2	16	9	4.5	12.5	10	12.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0	2	0.720588235294118	h	1
1	1-15	79	528	378	333	744	514	0.3	1.7	2.7	16	11	11	16	13	10	13	14	13	11.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0	3	0.661764705882353	h	1
1	1-17	80	1040	918	317	479	1218	0.5	0.5	4.1	17	15	17	14	11	17	17	7	15	15	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0	4	0.882352941176471	h	1
1	1-20	48	443	434	332	667	873	0.1	0.2	3	3	10	12	15	12	12	4.5	3.5	14	11.5	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0	3	0.676470588235294	h	1
1	1-5	60	945	798	224	1281	1211	0.3	4.6	20.7	7	13	16	5	15	16	13	16	17	15	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0	4	0.882352941176471	h	1
1	1-6	63	1213	437	266	882	903	0.1	1.8	0.3	8	16	13	7	14	14	4.5	15	3.5	14.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0	4	0.838235294117647	h	1
1	1-7	55	805	216	310	1476	418	0.1	0.7	1.8	5	12	7	13	17	8	4.5	10	11	11	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0	2	0.647058823529412	h	1
1	1-9	50	190	456	282	369	880	0.3	7.3	0.5	4	8	14	10	10	13	13	17	5.5	11.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0	2	0.661764705882353	h	1
