Group	Animal	ALT.24h	ALT.48h	ALT.72h	AST.24h	AST.48h	AST.72h	TBil.24h	TBil.48h	TBil.72h	ALT.rank.24h	ALT.rank.48h	ALT.rank.72h	AST.rank.24h	AST.rank.48h	AST.rank.72h	TBil.rank.24h	TBil.rank.48h	TBil.rank.72h	Mean_rank	alt48q	alt72q	ast48q	ast72q	ValueLow	ValueHigh	Percent	Type
W	W-13	75.0	56.0	42.0	201.0	225.0	142.0	0.1	0.4	0.5	2.0	3.0	1.0	1.0	8.0	7.5	4.5	12.0	11.5	4.875	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	2.0	0.0	0.24375	l
W	W-2	86.0	55.0	53.0	222.0	177.0	121.0	0.9	1.2	0.2	6.5	2.0	5.5	2.0	3.0	3.5	17.0	18.0	5.5	3.5	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	4.0	0.0	0.175	l
W	W-5	87.0	58.0	44.0	253.0	175.0	121.0	0.3	1.1	0.6	8.0	7.0	2.0	5.0	2.0	3.5	12.0	17.0	13.0	3.625	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	4.0	0.0	0.18125	l
W	W-7	91.0	57.0	46.0	282.0	200.0	140.0	0.6	0.3	0.9	10.5	5.0	3.0	7.0	5.0	6.0	16.0	8.0	15.0	4.75	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	4.0	0.0	0.2375	l
G1	G1-11	52.0	37.0	41.0	357.0	177.0	159.0	0.1	0.1	0.4	14.0	1.0	5.0	14.5	1.0	3.0	3.0	3.5	6.5	2.5	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	4.0	0.0	0.1388888888888889	l
G1	G1-12	37.0	42.0	31.0	233.0	189.0	138.0	0.1	0.1	0.1	3.0	2.0	3.0	1.0	2.0	1.0	3.0	3.5	1.0	2.0	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	4.0	0.0	0.1111111111111111	l
G1	G1-16	36.0	49.0	24.0	322.0	216.0	173.0	0.2	0.2	0.2	2.0	4.0	2.0	10.0	6.0	5.0	7.0	6.0	2.0	4.25	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	4.0	0.0	0.2361111111111111	l
G1	G1-19	39.0	45.0	23.0	264.0	210.0	171.0	0.1	0.1	0.3	5.0	3.0	1.0	6.0	5.0	4.0	3.0	3.5	4.0	3.25	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	4.0	0.0	0.18055555555555555	l
G1	G1-7	70.0	53.0	38.0	306.0	203.0	143.0	0.3	0.5	0.3	18.0	5.0	4.0	9.0	4.0	2.0	10.5	9.5	4.0	3.75	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	4.0	0.0	0.20833333333333334	l
G	G-11	46.0	78.0	73.0	165.0	179.0	181.0	0.4	0.1	0.1	8.5	5.5	6.0	1.0	3.0	7.0	8.0	1.5	2.5	5.375	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	3.0	0.0	0.3161764705882353	l
G	G-12	46.0	100.0	50.0	182.0	276.0	148.0	0.4	0.9	0.1	8.5	7.0	2.5	5.0	9.0	4.0	8.0	11.0	2.5	5.625	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	2.0	0.0	0.33088235294117646	l
