Group	Animal	ALT.24h	ALT.48h	ALT.72h	AST.24h	AST.48h	AST.72h	TBil.24h	TBil.48h	TBil.72h
1	1-1	70.0	964.0	288.0	198.0	1305.0	480.0	0.1	1.0	1.7
1	1-10	59.0	138.0	142.0	345.0	317.0	351.0	0.1	0.2	0.6
1	1-11	66.0	133.0	73.0	222.0	319.0	206.0	0.3	0.1	0.3
1	1-14	72.0	1234.0	577.0	309.0	318.0	904.0	0.1	0.4	4.2
1	1-15	79.0	528.0	378.0	333.0	744.0	514.0	0.3	1.7	2.7
1	1-17	80.0	1040.0	918.0	317.0	479.0	1218.0	0.5	0.5	4.1
1	1-18	77.0	206.0	225.0	267.0	354.0	283.0	0.1	0.5	0.5
1	1-19	73.0	82.0	94.0	243.0	181.0	189.0	0.3	0.0	0.1
1	1-2	46.0	79.0	149.0	151.0	206.0	283.0	0.1	0.5	0.8
1	1-20	48.0	443.0	434.0	332.0	667.0	873.0	0.1	0.2	3.0
1	1-3	76.0	75.0	228.0	275.0	313.0	541.0	0.3	0.8	2.0
1	1-4	44.0	165.0	137.0	205.0	327.0	248.0	0.3	0.6	1.2
1	1-5	60.0	945.0	798.0	224.0	1281.0	1211.0	0.3	4.6	20.7
1	1-6	63.0	1213.0	437.0	266.0	882.0	903.0	0.1	1.8	0.3
1	1-7	55.0	805.0	216.0	310.0	1476.0	418.0	0.1	0.7	1.8
1	1-8	76.0	77.0	68.0	290.0	275.0	228.0	0.2	1.0	0.1
1	1-9	50.0	190.0	456.0	282.0	369.0	880.0	0.3	7.3	0.5
2	2-10	43.0	62.0	94.0	346.0	196.0	230.0	0.6	0.7	0.8
2	2-11	51.0	1296.0	656.0	379.0	12.0	198.0	0.2	16.6	18.6
2	2-12	67.0	80.0	95.0	439.0	226.0	185.0	0.4	0.1	2.3
2	2-13	69.0	537.0	832.0	277.0	879.0	1214.0	0.5	8.6	14.2
2	2-14	52.0	300.0	508.0	309.0	550.0	929.0	0.1	5.2	3.5
2	2-15	58.0	1121.0	1322.0	332.0	159.0	720.0	0.2	18.7	19.7
2	2-16	64.0	187.0	132.0	325.0	325.0	228.0	0.8	0.5	1.9
2	2-17	62.0	134.0	77.0	219.0	280.0	196.0	0.4	0.2	1.6
2	2-18	56.0	152.0	55.0	285.0	220.0	149.0	0.7	0.4	0.3
2	2-19	66.0	164.0	83.0	276.0	282.0	173.0	0.0	0.8	0.5
2	2-20	73.0	144.0	0.0	444.0	278.0	0.0	0.4	0.1	0.0
2	2-3	68.0	143.0	231.0	357.0	245.0	382.0	0.3	3.9	1.5
2	2-5	54.0	441.0	665.0	298.0	725.0	1192.0	1.1	3.1	3.0
2	2-6	55.0	1137.0	1362.0	376.0	1052.0	1173.0	0.7	4.2	23.1
2	2-7	63.0	289.0	123.0	407.0	386.0	242.0	0.4	1.1	1.6
2	2-8	54.0	709.0	289.0	352.0	1049.0	536.0	0.7	2.5	1.7
2	2-9	55.0	72.0	85.0	300.0	202.0	225.0	0.4	0.7	0.9
G	G-1	40.0	102.0	0.0	173.0	289.0	0.0	0.4	1.4	0.0
G	G-10	44.0	286.0	845.0	171.0	431.0	967.0	0.3	0.1	5.8
G	G-11	46.0	78.0	73.0	165.0	179.0	181.0	0.4	0.1	0.1
G	G-12	46.0	100.0	50.0	182.0	276.0	148.0	0.4	0.9	0.1
G	G-13	50.0	519.0	233.0	234.0	639.0	298.0	1.5	1.5	0.4
G	G-14	66.0	78.0	54.0	213.0	251.0	131.0	1.1	2.5	0.2
G	G-15	48.0	217.0	1180.0	176.0	154.0	1114.0	1.0	16.4	54.3
G	G-16	39.0	50.0	817.0	199.0	227.0	675.0	1.0	0.9	120.0
G	G-17	62.0	1382.0	402.0	217.0	1187.0	537.0	0.6	0.4	2.0
G	G-18	41.0	575.0	404.0	169.0	800.0	644.0	0.1	0.2	3.6
G	G-19	38.0	242.0	557.0	231.0	453.0	862.0	0.1	0.2	3.3
G	G-20	79.0	59.0	44.0	223.0	220.0	133.0	0.7	2.7	0.6
G	G-3	50.0	119.0	84.0	200.0	306.0	222.0	0.4	0.2	2.6
G	G-4	43.0	119.0	75.0	206.0	302.0	178.0	0.1	0.3	0.8
G	G-6	47.0	242.0	71.0	210.0	126.0	173.0	0.5	19.7	0.1
G	G-7	34.0	247.0	86.0	194.0	325.0	186.0	0.1	0.4	0.6
G	G-8	43.0	66.0	123.0	247.0	247.0	235.0	0.6	0.2	0.7
G	G-9	49.0	52.0	50.0	193.0	246.0	145.0	0.2	0.9	0.1
