Group	Animal	alt.24	alt.48	alt.72	ast.24	ast.48	ast.72	rank
G	G-9	52	206	157	211	9	428	1.5
G	G-1	0	244	536	0	370	989	4
G	G-8	62	93	868	305	244	1052	4.5
G	G-2	0	321	694	0	422	911	4.75
G	G-5	55	714	267	201	903	417	4.75
G	G-7	38	488	808	163	489	887	5.25
G	G-3	59	578	1422	156	625	840	6.5
G	G-10	42	1428	661	257	1103	785	6.75
G	G-4	41	720	915	158	758	1054	8
G	G-6	42	794	933	135	860	1058	9
W	W-5	94	65	160	235	207	218	1.75
W	W-6	64	508	356	151	17	507	3.25
W	W-7	104	365	319	178	474	479	3.25
W	W-8	81	214	453	238	560	627	4.5
W	W-2	76	383	1171	193	49	1058	6
W	W-9	59	1448	382	213	1014	113	6
W	W-1	75	1271	955	163	246	1111	7.25
W	W-3	105	581	941	177	710	1140	7.25
W	W-10	53	725	1053	193	757	928	7.5
W	W-4	74	667	1135	226	1096	978	8.25
1	1-4	54	0	206	165	0	333	2.5
1	1-8	0	66	263	0	162	284	2.5
1	1-6	71	84	361	188	235	377	4.75
1	1-7	58	88	344	159	176	463	4.75
1	1-3	60	494	303	163	533	346	6.75
1	1-9	76	99	366	398	328	484	6.75
1	1-2	60	105	516	209	241	922	7
1	1-1	71	574	1234	122	4	1157	8
1	1-5	58	194	1124	217	324	1052	8
1	1-10	61	306	0	204	369	0	8.5
2	2-7	52	124	149	145	202	288	1.75
2	2-5	44	186	277	152	259	405	3.25
2	2-8	0	155	371	0	292	508	4
2	2-2	63	753	179	315	380	13	4.25
2	2-3	66	254	292	332	362	512	5
2	2-9	51	227	702	162	385	847	6.25
2	2-1	62	504	793	161	558	1109	7.75
2	2-10	55	819	862	141	752	658	8.25
2	2-6	47	1355	837	182	1143	895	9
2	2-4	62	0	1082	214	0	1131	10
G1	G1-1	58	50	53	182	181	183	2.375
G1	G1-4	75	67	163	169	151	298	3.25
G1	G1-6	58	105	127	151	168	238	4
G1	G1-7	64	82	72	172	223	157	4
G1	G1-3	47	79	178	134	177	289	4.25
G1	G1-8	53	87	250	161	149	314	4.75
G1	G1-10	54	78	547	139	181	702	5.625
G1	G1-5	46	136	740	143	220	790	7.75
G1	G1-2	48	1082	1252	139	843	931	9
G1	G1-9	71	1091	1363	159	921	966	10
