Group	Animal	ALT.0h	ALT.24h	ALT.48h	ALT.rank.0h	ALT.rank.24h	ALT.rank.48h	AST.0h	AST.24h	AST.48h	AST.rank.0h	AST.rank.24h	AST.rank.48h	Mean_rank
1	1-1	71	574	1234	8.5	10.0	10.0	122	4	1157	2.0	2.0	10.0	8.0
1	1-2	60	105	516	5.5	6.0	8.0	209	241	922	8.0	6.0	8.0	7.0
1	1-3	60	494	303	5.5	9.0	4.0	163	533	346	4.0	10.0	4.0	6.75
1	1-5	58	194	1124	3.5	7.0	9.0	217	324	1052	9.0	7.0	9.0	8.0
1	1-6	71	84	361	8.5	3.0	6.0	188	235	377	6.0	5.0	5.0	4.75
1	1-7	58	88	344	3.5	4.0	5.0	159	176	463	3.0	4.0	6.0	4.75
1	1-8	0	66	263	1.0	2.0	3.0	0	162	284	1.0	3.0	2.0	2.5
1	1-9	76	99	366	10.0	5.0	7.0	398	328	484	10.0	8.0	7.0	6.75
2	2-1	62	504	793	7.5	7.0	7.0	161	558	1109	5.0	8.0	9.0	7.75
2	2-10	55	819	862	6.0	9.0	9.0	141	752	658	2.0	9.0	6.0	8.25
2	2-2	63	753	179	9.0	8.0	2.0	315	380	13	9.0	6.0	1.0	4.25
2	2-3	66	254	292	10.0	6.0	4.0	332	362	512	10.0	5.0	5.0	5.0
2	2-5	44	186	277	2.0	4.0	3.0	152	259	405	4.0	3.0	3.0	3.25
2	2-6	47	1355	837	3.0	10.0	8.0	182	1143	895	7.0	10.0	8.0	9.0
2	2-7	52	124	149	5.0	2.0	1.0	145	202	288	3.0	2.0	2.0	1.75
2	2-8	0	155	371	1.0	3.0	5.0	0	292	508	1.0	4.0	4.0	4.0
2	2-9	51	227	702	4.0	5.0	6.0	162	385	847	6.0	7.0	7.0	6.25
G	G-1	0	244	536	1.5	3.0	3.0	0	370	989	1.5	3.0	7.0	4.0
G	G-10	42	1428	661	5.5	10.0	4.0	257	1103	785	9.0	10.0	3.0	6.75
G	G-2	0	321	694	1.5	4.0	5.0	0	422	911	1.5	4.0	6.0	4.75
G	G-3	59	578	1422	9.0	6.0	10.0	156	625	840	4.0	6.0	4.0	6.5
G	G-4	41	720	915	4.0	8.0	8.0	158	758	1054	5.0	7.0	9.0	8.0
G	G-5	55	714	267	8.0	7.0	2.0	201	903	417	7.0	9.0	1.0	4.75
G	G-6	42	794	933	5.5	9.0	9.0	135	860	1058	3.0	8.0	10.0	9.0
G	G-7	38	488	808	3.0	5.0	6.0	163	489	887	6.0	5.0	5.0	5.25
G	G-8	62	93	868	10.0	1.0	7.0	305	244	1052	10.0	2.0	8.0	4.5
G	G-9	52	206	157	7.0	2.0	1.0	211	9	428	8.0	1.0	2.0	1.5
G1	G1-1	58	50	53	6.5	1.0	1.0	182	181	183	10.0	5.5	2.0	2.375
G1	G1-10	54	78	547	5.0	3.0	7.0	139	181	702	2.5	5.5	7.0	5.625
G1	G1-2	48	1082	1252	3.0	9.0	9.0	139	843	931	2.5	9.0	9.0	9.0
G1	G1-3	47	79	178	2.0	4.0	5.0	134	177	289	1.0	4.0	4.0	4.25
G1	G1-4	75	67	163	10.0	2.0	4.0	169	151	298	8.0	2.0	5.0	3.25
G1	G1-5	46	136	740	1.0	8.0	8.0	143	220	790	4.0	7.0	8.0	7.75
G1	G1-6	58	105	127	6.5	7.0	3.0	151	168	238	5.0	3.0	3.0	4.0
G1	G1-7	64	82	72	8.0	5.0	2.0	172	223	157	9.0	8.0	1.0	4.0
G1	G1-8	53	87	250	4.0	6.0	6.0	161	149	314	7.0	1.0	6.0	4.75
G1	G1-9	71	1091	1363	9.0	10.0	10.0	159	921	966	6.0	10.0	10.0	10.0
K	K-1	47	45	42	5.5	3.0	3.0	161	99	110	4.0	1.0	7.0	3.5
K	K-10	49	69	48	8.0	9.0	8.0	219	198	87	9.0	9.0	2.0	7.0
K	K-2	36	32	45	1.5	1.5	4.0	156	131	140	3.0	3.5	9.5	4.625
K	K-3	73	55	26	10.0	5.0	1.0	222	157	93	10.0	5.0	5.0	4.0
K	K-4	47	32	31	5.5	1.5	2.0	140	102	96	2.0	2.0	6.0	2.875
K	K-5	41	52	65	3.0	4.0	10.0	213	163	140	8.0	6.5	9.5	7.5
K	K-6	36	58	47	1.5	7.0	6.0	194	228	125	6.0	10.0	8.0	7.75
K	K-7	48	57	48	7.0	6.0	8.0	37	131	92	1.0	3.5	4.0	5.375
K	K-8	52	66	48	9.0	8.0	8.0	201	163	87	7.0	6.5	2.0	6.125
K	K-9	46	73	46	4.0	10.0	5.0	167	196	87	5.0	8.0	2.0	6.25
W	W-1	75	1271	955	5.0	9.0	7.0	163	246	1111	2.0	4.0	9.0	7.25
W	W-10	53	725	1053	1.0	8.0	8.0	193	757	928	5.5	8.0	6.0	7.5
W	W-2	76	383	1171	6.0	4.0	10.0	193	49	1058	5.5	2.0	8.0	6.0
W	W-3	105	581	941	10.0	6.0	6.0	177	710	1140	3.0	7.0	10.0	7.25
W	W-4	74	667	1135	4.0	7.0	9.0	226	1096	978	8.0	10.0	7.0	8.25
W	W-5	94	65	160	8.0	1.0	1.0	235	207	218	9.0	3.0	2.0	1.75
W	W-6	64	508	356	3.0	5.0	3.0	151	17	507	1.0	1.0	4.0	3.25
W	W-7	104	365	319	9.0	3.0	2.0	178	474	479	4.0	5.0	3.0	3.25
W	W-8	81	214	453	7.0	2.0	5.0	238	560	627	10.0	6.0	5.0	4.5
W	W-9	59	1448	382	2.0	10.0	4.0	213	1014	113	7.0	9.0	1.0	6.0
