Group	Animal	alt.24	alt.48	alt.72	ast.24	ast.48	ast.72	rank	Type	cluster
G	G-4	41	720	915	158	758	1054	8	h	1
G	G-6	42	794	933	135	860	1058	9	h	1
W	W-1	75	1271	955	163	246	1111	7.25	h	1
W	W-3	105	581	941	177	710	1140	7.25	h	1
W	W-10	53	725	1053	193	757	928	7.5	h	1
W	W-4	74	667	1135	226	1096	978	8.25	h	1
1	1-1	71	574	1234	122	4	1157	8	h	1
1	1-5	58	194	1124	217	324	1052	8	h	1
2	2-1	62	504	793	161	558	1109	7.75	h	1
2	2-10	55	819	862	141	752	658	8.25	h	1
2	2-6	47	1355	837	182	1143	895	9	h	1
G1	G1-2	48	1082	1252	139	843	931	9	h	1
G1	G1-9	71	1091	1363	159	921	966	10	h	1
1	1-2	60	105	516	209	241	922	7	h	2
2	2-4	62	0	1082	214	0	1131	10	h	2
G1	G1-5	46	136	740	143	220	790	7.75	h	2
G	G-9	52	206	157	211	9	428	1.5	l	2
W	W-5	94	65	160	235	207	218	1.75	l	2
1	1-4	54	0	206	165	0	333	2.5	l	2
1	1-8	0	66	263	0	162	284	2.5	l	2
2	2-7	52	124	149	145	202	288	1.75	l	2
G1	G1-1	58	50	53	182	181	183	2.375	l	2
