Group	Comparison	Animal	Time	ALT	AST
K	K-0h	K-1	0h	47	161
K	K-24h	K-1	24h	45	99
K	K-48h	K-1	48h	42	110
K	K-0h	K-2	0h	36	156
K	K-24h	K-2	24h	32	131
K	K-48h	K-2	48h	45	140
K	K-0h	K-3	0h	73	222
K	K-24h	K-3	24h	55	157
K	K-48h	K-3	48h	26	93
K	K-0h	K-4	0h	47	140
K	K-24h	K-4	24h	32	102
K	K-48h	K-4	48h	31	96
K	K-0h	K-5	0h	41	213
K	K-24h	K-5	24h	52	163
K	K-48h	K-5	48h	65	140
K	K-0h	K-6	0h	36	194
K	K-24h	K-6	24h	58	228
K	K-48h	K-6	48h	47	125
K	K-0h	K-7	0h	48	37
K	K-24h	K-7	24h	57	131
K	K-48h	K-7	48h	48	92
K	K-0h	K-8	0h	52	201
K	K-24h	K-8	24h	66	163
K	K-48h	K-8	48h	48	87
K	K-0h	K-9	0h	46	167
K	K-24h	K-9	24h	73	196
K	K-48h	K-9	48h	46	87
K	K-0h	K-10	0h	49	219
K	K-24h	K-10	24h	69	198
K	K-48h	K-10	48h	48	87
G	G-0h	G-1	0h	0	0
G	G-24h	G-1	24h	244	370
G	G-48h	G-1	48h	536	989
G	G-0h	G-2	0h	0	0
G	G-24h	G-2	24h	321	422
G	G-48h	G-2	48h	694	911
G	G-0h	G-3	0h	59	156
G	G-24h	G-3	24h	578	625
G	G-48h	G-3	48h	1422	840
G	G-0h	G-4	0h	41	158
G	G-24h	G-4	24h	720	758
G	G-48h	G-4	48h	915	1054
G	G-0h	G-5	0h	55	201
G	G-24h	G-5	24h	714	903
G	G-48h	G-5	48h	267	417
G	G-0h	G-6	0h	42	135
G	G-24h	G-6	24h	794	860
G	G-48h	G-6	48h	933	1058
G	G-0h	G-7	0h	38	163
G	G-24h	G-7	24h	488	489
G	G-48h	G-7	48h	808	887
G	G-0h	G-8	0h	62	305
G	G-24h	G-8	24h	93	244
G	G-48h	G-8	48h	868	1052
G	G-0h	G-9	0h	52	211
G	G-24h	G-9	24h	206	9
G	G-48h	G-9	48h	157	428
G	G-0h	G-10	0h	42	257
G	G-24h	G-10	24h	1428	1103
G	G-48h	G-10	48h	661	785
W	W-0h	W-1	0h	75	163
W	W-24h	W-1	24h	1271	246
W	W-48h	W-1	48h	955	1111
W	W-0h	W-2	0h	76	193
W	W-24h	W-2	24h	383	49
W	W-48h	W-2	48h	1171	1058
W	W-0h	W-3	0h	105	177
W	W-24h	W-3	24h	581	710
W	W-48h	W-3	48h	941	1140
W	W-0h	W-4	0h	74	226
W	W-24h	W-4	24h	667	1096
W	W-48h	W-4	48h	1135	978
W	W-0h	W-5	0h	94	235
W	W-24h	W-5	24h	65	207
W	W-48h	W-5	48h	160	218
W	W-0h	W-6	0h	64	151
W	W-24h	W-6	24h	508	17
W	W-48h	W-6	48h	356	507
W	W-0h	W-7	0h	104	178
W	W-24h	W-7	24h	365	474
W	W-48h	W-7	48h	319	479
W	W-0h	W-8	0h	81	238
W	W-24h	W-8	24h	214	560
W	W-48h	W-8	48h	453	627
W	W-0h	W-9	0h	59	213
W	W-24h	W-9	24h	1448	1014
W	W-48h	W-9	48h	382	113
W	W-0h	W-10	0h	53	193
W	W-24h	W-10	24h	725	757
W	W-48h	W-10	48h	1053	928
1	1-0h	1-1	0h	71	122
1	1-24h	1-1	24h	574	4
1	1-48h	1-1	48h	1234	1157
1	1-0h	1-2	0h	60	209
1	1-24h	1-2	24h	105	241
1	1-48h	1-2	48h	516	922
1	1-0h	1-3	0h	60	163
1	1-24h	1-3	24h	494	533
1	1-48h	1-3	48h	303	346
1	1-0h	1-4	0h	54	165
1	1-24h	1-4	24h	0	0
1	1-48h	1-4	48h	206	333
1	1-0h	1-5	0h	58	217
1	1-24h	1-5	24h	194	324
1	1-48h	1-5	48h	1124	1052
1	1-0h	1-6	0h	71	188
1	1-24h	1-6	24h	84	235
1	1-48h	1-6	48h	361	377
1	1-0h	1-7	0h	58	159
1	1-24h	1-7	24h	88	176
1	1-48h	1-7	48h	344	463
1	1-0h	1-8	0h	0	0
1	1-24h	1-8	24h	66	162
1	1-48h	1-8	48h	263	284
1	1-0h	1-9	0h	76	398
1	1-24h	1-9	24h	99	328
1	1-48h	1-9	48h	366	484
1	1-0h	1-10	0h	61	204
1	1-24h	1-10	24h	306	369
1	1-48h	1-10	48h	0	0
2	2-0h	2-1	0h	62	161
2	2-24h	2-1	24h	504	558
2	2-48h	2-1	48h	793	1109
2	2-0h	2-2	0h	63	315
2	2-24h	2-2	24h	753	380
2	2-48h	2-2	48h	179	13
2	2-0h	2-3	0h	66	332
2	2-24h	2-3	24h	254	362
2	2-48h	2-3	48h	292	512
2	2-0h	2-4	0h	62	214
2	2-24h	2-4	24h	0	0
2	2-48h	2-4	48h	1082	1131
2	2-0h	2-5	0h	44	152
2	2-24h	2-5	24h	186	259
2	2-48h	2-5	48h	277	405
2	2-0h	2-6	0h	47	182
2	2-24h	2-6	24h	1355	1143
2	2-48h	2-6	48h	837	895
2	2-0h	2-7	0h	52	145
2	2-24h	2-7	24h	124	202
2	2-48h	2-7	48h	149	288
2	2-0h	2-8	0h	0	0
2	2-24h	2-8	24h	155	292
2	2-48h	2-8	48h	371	508
2	2-0h	2-9	0h	51	162
2	2-24h	2-9	24h	227	385
2	2-48h	2-9	48h	702	847
2	2-0h	2-10	0h	55	141
2	2-24h	2-10	24h	819	752
2	2-48h	2-10	48h	862	658
G1	G1-0h	G1-1	0h	58	182
G1	G1-24h	G1-1	24h	50	181
G1	G1-48h	G1-1	48h	53	183
G1	G1-0h	G1-2	0h	48	139
G1	G1-24h	G1-2	24h	1082	843
G1	G1-48h	G1-2	48h	1252	931
G1	G1-0h	G1-3	0h	47	134
G1	G1-24h	G1-3	24h	79	177
G1	G1-48h	G1-3	48h	178	289
G1	G1-0h	G1-4	0h	75	169
G1	G1-24h	G1-4	24h	67	151
G1	G1-48h	G1-4	48h	163	298
G1	G1-0h	G1-5	0h	46	143
G1	G1-24h	G1-5	24h	136	220
G1	G1-48h	G1-5	48h	740	790
G1	G1-0h	G1-6	0h	58	151
G1	G1-24h	G1-6	24h	105	168
G1	G1-48h	G1-6	48h	127	238
G1	G1-0h	G1-7	0h	64	172
G1	G1-24h	G1-7	24h	82	223
G1	G1-48h	G1-7	48h	72	157
G1	G1-0h	G1-8	0h	53	161
G1	G1-24h	G1-8	24h	87	149
G1	G1-48h	G1-8	48h	250	314
G1	G1-0h	G1-9	0h	71	159
G1	G1-24h	G1-9	24h	1091	921
G1	G1-48h	G1-9	48h	1363	966
G1	G1-0h	G1-10	0h	54	139
G1	G1-24h	G1-10	24h	78	181
G1	G1-48h	G1-10	48h	547	702
