Group	Animal	ALT.0h	ALT.24h	ALT.48h	ALT.rank.0h	ALT.rank.24h	ALT.rank.48h	AST.0h	AST.24h	AST.48h	AST.rank.0h	AST.rank.24h	AST.rank.48h	Mean_rank	alt48q	alt72q	ast48q	ast72q	LessThan25%	MoreThan75%	Percent	Type
W	W-5	94	65	160	8.0	1.0	1.0	235	207	218	9.0	3.0	2.0	1.75	369.5-710.5	362.5-1028.5	216.75-745.25	486.0-1038.0	4.0	0.0	17.5	l
G1	G1-1	58	50	53	6.5	1.0	1.0	182	181	183	10.0	5.5	2.0	2.375	78.25-128.25	136.0-691.75	170.25-222.25	250.75-768.0	3.0	0.0	23.75	l
G	G-9	52	206	157	7.0	2.0	1.0	211	9	428	8.0	1.0	2.0	1.5	263.25-718.5	567.25-903.25	383.0-834.5	798.75-1036.25	4.0	0.0	15.0	l
2	2-7	52	124	149	5.0	2.0	1.0	145	202	288	3.0	2.0	2.0	1.75	186.0-753.0	277.0-793.0	292.0-558.0	405.0-847.0	4.0	0.0	19.444444444444443	l
W	W-1	75	1271	955	5.0	9.0	7.0	163	246	1111	2.0	4.0	9.0	7.25	369.5-710.5	362.5-1028.5	216.75-745.25	486.0-1038.0	0.0	2.0	72.5	h
W	W-10	53	725	1053	1.0	8.0	8.0	193	757	928	5.5	8.0	6.0	7.5	369.5-710.5	362.5-1028.5	216.75-745.25	486.0-1038.0	0.0	3.0	75.0	h
W	W-4	74	667	1135	4.0	7.0	9.0	226	1096	978	8.0	10.0	7.0	8.25	369.5-710.5	362.5-1028.5	216.75-745.25	486.0-1038.0	0.0	2.0	82.5	h
G1	G1-2	48	1082	1252	3.0	9.0	9.0	139	843	931	2.5	9.0	9.0	9.0	78.25-128.25	136.0-691.75	170.25-222.25	250.75-768.0	0.0	4.0	90.0	h
G1	G1-5	46	136	740	1.0	8.0	8.0	143	220	790	4.0	7.0	8.0	7.75	78.25-128.25	136.0-691.75	170.25-222.25	250.75-768.0	0.0	3.0	77.5	h
G1	G1-9	71	1091	1363	9.0	10.0	10.0	159	921	966	6.0	10.0	10.0	10.0	78.25-128.25	136.0-691.75	170.25-222.25	250.75-768.0	0.0	4.0	100.0	h
G	G-4	41	720	915	4.0	8.0	8.0	158	758	1054	5.0	7.0	9.0	8.0	263.25-718.5	567.25-903.25	383.0-834.5	798.75-1036.25	0.0	3.0	80.0	h
G	G-6	42	794	933	5.5	9.0	9.0	135	860	1058	3.0	8.0	10.0	9.0	263.25-718.5	567.25-903.25	383.0-834.5	798.75-1036.25	0.0	4.0	90.0	h
2	2-10	55	819	862	6.0	9.0	9.0	141	752	658	2.0	9.0	6.0	8.25	186.0-753.0	277.0-793.0	292.0-558.0	405.0-847.0	0.0	3.0	91.66666666666667	h
2	2-6	47	1355	837	3.0	10.0	8.0	182	1143	895	7.0	10.0	8.0	9.0	186.0-753.0	277.0-793.0	292.0-558.0	405.0-847.0	0.0	4.0	100.0	h
1	1-5	58	194	1124	3.5	7.0	9.0	217	324	1052	9.0	7.0	9.0	8.0	87.0-269.0	333.75-668.0	172.5-325.0	369.25-954.5	0.0	2.0	100.0	h
