Group	Animal	ALT.24	ALT.48	ALT.72	ALT.rank.24	ALT.rank.48	ALT.rank.72	AST.24	AST.48	AST.72	AST.rank.24	AST.rank.48	AST.rank.72	ALT.mean	ALT.sd	ALT.rank.mean	ALT.rank.sd	AST.mean	AST.sd	AST.rank.mean	AST.rank.sd
K	K-1	47	45	42	5.5	3	3	161	99	110	4	1	7	44.6666666666667	2.51661147842358	3.83333333333333	1.44337567297406	123.333333333333	33.0807093837683	4	3
K	K-2	36	32	45	1.5	1.5	4	156	131	140	3	3.5	9.5	37.6666666666667	6.65832811847939	2.33333333333333	1.44337567297406	142.333333333333	12.6622799421484	5.33333333333333	3.61708906903512
K	K-3	73	55	26	10	5	1	222	157	93	10	5	5	51.3333333333333	23.7135685491099	5.33333333333333	4.50924975282289	157.333333333333	64.5006459915971	6.66666666666667	2.88675134594813
K	K-4	47	32	31	5.5	1.5	2	140	102	96	2	2	6	36.6666666666667	8.9628864398325	3	2.17944947177034	112.666666666667	23.8607068908977	3.33333333333333	2.3094010767585
K	K-5	41	52	65	3	4	10	213	163	140	8	6.5	9.5	52.6666666666667	12.0138808606267	5.66666666666667	3.78593889720018	172	37.322915213043	8	1.5
K	K-6	36	58	47	1.5	7	6	194	228	125	6	10	8	47	11	4.83333333333333	2.92973263854116	182.333333333333	52.4817428572388	8	2
K	K-7	48	57	48	7	6	8	37	131	92	1	3.5	4	51	5.19615242270663	7	1	86.6666666666667	47.2264050435065	2.83333333333333	1.60727512683216
K	K-8	52	66	48	9	8	8	201	163	87	7	6.5	2	55.3333333333333	9.45163125250522	8.33333333333333	0.577350269189626	150.333333333333	58.045958802774	5.16666666666667	2.75378527364305
K	K-9	46	73	46	4	10	5	167	196	87	5	8	2	55	15.5884572681199	6.33333333333333	3.21455025366432	150	56.4535207050898	5	3
K	K-10	49	69	48	8	9	8	219	198	87	9	9	2	55.3333333333333	11.8462370959446	8.33333333333333	0.577350269189626	168	70.9295425052213	6.66666666666667	4.04145188432738
G	G-1	0	244	536	1.5	3	3	0	370	989	1.5	3	7	260	268.357969883512	2.5	0.866025403784439	453	499.696908135322	3.83333333333333	2.84312035153866
G	G-2	0	321	694	1.5	4	5	0	422	911	1.5	4	6	338.333333333333	347.324536037023	3.5	1.80277563773199	444.333333333333	455.910444422294	3.83333333333333	2.25462487641145
G	G-3	59	578	1422	9	6	10	156	625	840	4	6	4	686.333333333333	687.927564016251	8.33333333333333	2.08166599946613	540.333333333333	349.771830388517	4.66666666666667	1.15470053837925
G	G-4	41	720	915	4	8	8	158	758	1054	5	7	9	558.666666666667	458.792255093014	6.66666666666667	2.3094010767585	656.666666666667	456.514329822552	7	2
G	G-5	55	714	267	8	7	2	201	903	417	7	9	1	345.333333333333	336.410958997077	5.66666666666667	3.21455025366432	507	359.549718397887	5.66666666666667	4.16333199893227
G	G-6	42	794	933	5.5	9	9	135	860	1058	3	8	10	589.666666666667	479.358251554444	7.83333333333333	2.02072594216369	684.333333333333	485.928321188767	7	3.60555127546399
G	G-7	38	488	808	3	5	6	163	489	887	6	5	5	444.666666666667	386.824680357049	4.66666666666667	1.52752523165195	513	362.596194133364	5.33333333333333	0.577350269189626
G	G-8	62	93	868	10	1	7	305	244	1052	10	2	8	341	456.658515742343	6	4.58257569495584	533.666666666667	449.924808532863	6.66666666666667	4.16333199893227
G	G-9	52	206	157	7	2	1	211	9	428	8	1	2	138.333333333333	78.6786714004077	3.33333333333333	3.21455025366432	216	209.544744625104	3.66666666666667	3.78593889720018
G	G-10	42	1428	661	5.5	10	4	257	1103	785	9	10	3	710.333333333333	694.315730293743	6.5	3.1224989991992	715	427.32189272257	7.33333333333333	3.78593889720018
W	W-1	75	1271	955	5	9	7	163	246	1111	2	4	9	767	619.767698416108	7	2	506.666666666667	525.010793539841	5	3.60555127546399
W	W-2	76	383	1171	6	4	10	193	49	1058	5.5	2	8	543.333333333333	564.833013671592	6.66666666666667	3.05505046330389	433.333333333333	545.747499612535	5.16666666666667	3.01385688667085
W	W-3	105	581	941	10	6	6	177	710	1140	3	7	10	542.333333333333	419.339162651586	7.33333333333333	2.3094010767585	675.666666666667	482.417177693056	6.66666666666667	3.51188458428425
W	W-4	74	667	1135	4	7	9	226	1096	978	8	10	7	625.333333333333	531.725806533154	6.66666666666667	2.51661147842358	766.666666666667	471.933611150269	8.33333333333333	1.52752523165195
W	W-5	94	65	160	8	1	1	235	207	218	9	3	2	106.333333333333	48.6860691916418	3.33333333333333	4.04145188432738	220	14.1067359796659	4.66666666666667	3.78593889720018
W	W-6	64	508	356	3	5	3	151	17	507	1	1	4	309.333333333333	225.648694508374	3.66666666666667	1.15470053837925	225	253.242966338653	2	1.73205080756888
W	W-7	104	365	319	9	3	2	178	474	479	4	5	3	262.666666666667	139.320972338458	4.66666666666667	3.78593889720018	377	172.357187259482	4	1
W	W-8	81	214	453	7	2	5	238	560	627	10	6	5	249.333333333333	188.500221043195	4.66666666666667	2.51661147842358	475	207.963939181773	7	2.64575131106459
W	W-9	59	1448	382	2	10	4	213	1014	113	7	9	1	629.666666666667	726.866104130144	5.33333333333333	4.16333199893227	446.666666666667	493.862666470481	5.66666666666667	4.16333199893227
W	W-10	53	725	1053	1	8	8	193	757	928	5.5	8	6	610.333333333333	509.765959370899	5.66666666666667	4.04145188432738	626	384.612792298956	6.5	1.3228756555323
1	1-1	71	574	1234	8.5	10	10	122	4	1157	2	2	10	626.333333333333	583.26351963185	9.5	0.866025403784439	427.666666666667	634.37081689918	4.66666666666667	4.61880215351701
1	1-2	60	105	516	5.5	6	8	209	241	922	8	6	8	227	251.290668350418	6.5	1.3228756555323	457.333333333333	402.731093079903	7.33333333333333	1.15470053837925
1	1-3	60	494	303	5.5	9	4	163	533	346	4	10	4	285.666666666667	217.518581581743	6.16666666666667	2.56580071972344	347.333333333333	185.003603568507	6	3.46410161513775
1	1-4	54	0	206	2	1	2	165	0	333	5	1	3	86.6666666666667	106.814480915901	1.66666666666667	0.577350269189626	166	166.502252237019	3	2
1	1-5	58	194	1124	3.5	7	9	217	324	1052	9	7	9	458.666666666667	580.194220354989	6.5	2.78388218141501	531	454.35998943569	8.33333333333333	1.15470053837925
1	1-6	71	84	361	8.5	3	6	188	235	377	6	5	5	172	163.807814221422	5.83333333333333	2.75378527364305	266.666666666667	98.3988482317417	5.33333333333333	0.577350269189626
1	1-7	58	88	344	3.5	4	5	159	176	463	3	4	6	163.333333333333	157.179303132866	4.16666666666667	0.763762615825973	266	170.818617252336	4.33333333333333	1.52752523165195
1	1-8	0	66	263	1	2	3	0	162	284	1	3	2	109.666666666667	136.82957769917	2	1	148.666666666667	142.468710014983	2	1
1	1-9	76	99	366	10	5	7	398	328	484	10	8	7	180.333333333333	161.202770861215	7.33333333333333	2.51661147842358	403.333333333333	78.1366324673218	8.33333333333333	1.52752523165195
1	1-10	61	306	0	7	8	1	204	369	0	7	9	1	122.333333333333	161.957813437121	5.33333333333333	3.78593889720018	191	184.843176774259	5.66666666666667	4.16333199893227
2	2-1	62	504	793	7.5	7	7	161	558	1109	5	8	9	453	368.158933071031	7.16666666666667	0.288675134594813	609.333333333333	476.080175320642	7.33333333333333	2.08166599946613
2	2-2	63	753	179	9	8	2	315	380	13	9	6	1	331.666666666667	369.466281727214	6.33333333333333	3.78593889720018	236	195.839219769688	5.33333333333333	4.04145188432738
2	2-3	66	254	292	10	6	4	332	362	512	10	5	5	204	121.012396059247	6.66666666666667	3.05505046330389	402	96.4365076099295	6.66666666666667	2.88675134594813
2	2-4	62	0	1082	7.5	1	10	214	0	1131	8	1	10	381.333333333333	607.586482184498	6.16666666666667	4.64578662158878	448.333333333333	600.811395808479	6.33333333333333	4.72581562625261
2	2-5	44	186	277	2	4	3	152	259	405	4	3	3	169	117.4265728019	3	1	272	127	3.33333333333333	0.577350269189626
2	2-6	47	1355	837	3	10	8	182	1143	895	7	10	8	746.333333333333	658.696692972823	7	3.60555127546399	740	498.897785122364	8.33333333333333	1.52752523165195
2	2-7	52	124	149	5	2	1	145	202	288	3	2	2	108.333333333333	50.3620227287719	2.66666666666667	2.08166599946613	211.666666666667	71.9884249955042	2.33333333333333	0.577350269189626
2	2-8	0	155	371	1	3	5	0	292	508	1	4	4	175.333333333333	186.333929635301	3	2	266.666666666667	254.945745862396	3	1.73205080756888
2	2-9	51	227	702	4	5	6	162	385	847	6	7	7	326.666666666667	336.749659737517	5	1	464.666666666667	349.379926918152	6.66666666666667	0.577350269189626
2	2-10	55	819	862	6	9	9	141	752	658	2	9	6	578.666666666667	454.017987896221	8	1.73205080756888	517	329	5.66666666666667	3.51188458428425
G1	G1-1	58	50	53	6.5	1	1	182	181	183	10	5.5	2	53.6666666666667	4.04145188432738	2.83333333333333	3.17542648054294	182	1	5.83333333333333	4.01040313850532
G1	G1-2	48	1082	1252	3	9	9	139	843	931	2.5	9	9	794	651.622590154761	7	3.46410161513775	637.666666666667	434.09369188383	6.83333333333333	3.75277674973257
G1	G1-3	47	79	178	2	4	5	134	177	289	1	4	4	101.333333333333	68.2959247198055	3.66666666666667	1.52752523165195	200	80.0187478032492	3	1.73205080756888
G1	G1-4	75	67	163	10	2	4	169	151	298	8	2	5	101.666666666667	53.2666249478351	5.33333333333333	4.16333199893227	206	80.1810451416044	5	3
G1	G1-5	46	136	740	1	8	8	143	220	790	4	7	8	307.333333333333	377.392810389034	5.66666666666667	4.04145188432738	384.333333333333	353.420901098582	6.33333333333333	2.08166599946613
G1	G1-6	58	105	127	6.5	7	3	151	168	238	5	3	3	96.6666666666667	35.2467492590924	5.5	2.17944947177034	185.666666666667	46.1121820491433	3.66666666666667	1.15470053837925
G1	G1-7	64	82	72	8	5	2	172	223	157	9	8	1	72.6666666666667	9.01849950564579	5	3	184	34.5976877840124	6	4.35889894354067
G1	G1-8	53	87	250	4	6	6	161	149	314	7	1	6	130	105.304320899002	5.33333333333333	1.15470053837925	208	91.9945650568554	4.66666666666667	3.21455025366432
G1	G1-9	71	1091	1363	9	10	10	159	921	966	6	10	10	841.666666666667	681.132390459691	9.66666666666667	0.577350269189626	682	453.489801428875	8.66666666666667	2.3094010767585
G1	G1-10	54	78	547	5	3	7	139	181	702	2.5	5.5	7	226.333333333333	277.964626046793	5	2	340.666666666667	313.627698606697	5	2.29128784747792
